Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
168,Noah Atubolu,GER,Gardien,Freiburg,Bundesliga,22,2002,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6,0.26,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,784,1047,74.9,21818,15637,120,121,99.2,426,433,98.4,237,489,48.5,0,0.0,0.1,0.0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,48,8,1,88.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,4,90,88.5,23,90,23,0,0,1,1.7,33,31,2,0.09,1.42,30.1,28.5,1.7,0.07,0.22,1101,852,1092,10,0,0,1101,0,0,0.0,0,0.0,631,3356,1694,0,0,0,0,0,637,0
257,Oliver Baumann,GER,Gardien,Hoffenheim,Bundesliga,34,1990,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,21.0,7,0.33,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,574,794,72.3,15936,11750,101,102,99.0,300,302,99.3,170,385,44.2,0,0.8,0.5,-0.8,2,22,1,0,1,0,0,4,0,0,0,1,0,0,0,39,7,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,10,1,90,80.8,21,90,21,0,0,0,1.0,25,37,-12,-0.57,0.23,24.6,34.9,-10.3,-0.49,-0.08,862,696,846,17,0,0,862,0,0,0.0,0,0.0,502,2246,1290,0,0,0,0,0,439,0
470,Tiago Cardoso,LUX,Gardien,Gladbach,Bundesliga,18,2006,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,39,51,76.5,1052,781,11,11,100.0,16,16,100.0,12,24,50.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,55,4.7,1,90,1,1,20,1,3.0,4,0,4,3.27,3.31,2.3,2.0,0.3,0.22,0.52,52,48,52,0,0,0,52,0,0,0.0,0,0.0,19,99,59,0,0,0,0,0,28,0
625,Finn Dahmen,GER,Gardien,Augsburg,Bundesliga,26,1998,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,0.09,1,0,0,0,0,0,1,0.09,1,0,0,0,0,0,296,428,69.2,8954,6658,52,52,100.0,136,137,99.3,108,239,45.2,0,0.0,0.0,0.0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,19,4,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,90,42.3,11,90,11,0,0,10,2.0,12,3,9,0.82,1.82,9.3,12.7,-3.4,-0.31,0.01,451,308,437,14,0,0,451,0,0,0.0,0,0.0,266,1420,818,0,0,0,0,0,237,0
626,Thomas Dähne,GER,Gardien,Holstein Kiel,Bundesliga,31,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,37,42,88.1,979,556,2,2,100.0,29,29,100.0,6,11,54.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,90,3.8,1,90,1,0,0,25,0.0,1,3,-2,-2.0,-1.04,1.4,2.5,-1.0,-1.05,-0.47,46,34,44,2,0,0,46,0,0,0.0,0,0.0,32,82,50,0,0,0,0,0,30,0
764,Patrick Drewes,GER,Gardien,Bochum,Bundesliga,32,1993,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2,0.1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,565,860,65.7,19116,15776,69,69,100.0,229,234,97.9,267,553,48.3,0,0.0,0.0,0.0,0,7,0,0,0,0,1,3,0,0,0,0,0,1,0,36,3,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,1,90,80.8,21,90,21,0,0,4,0.62,19,46,-27,-1.29,-1.69,25.3,42.7,-17.4,-0.83,-0.28,913,709,902,11,0,0,913,0,0,0.0,0,0.0,479,2471,1284,0,0,0,0,0,425,0
1009,Kamil Grabara,POL,Gardien,Wolfsburg,Bundesliga,26,1999,21,21,1865,20.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,6,0.29,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,540,806,67.0,16188,10849,82,82,100.0,259,261,99.2,198,456,43.4,0,0.0,0.1,0.0,2,27,2,0,2,0,0,0,0,0,0,0,0,0,0,27,7,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,8,2,89,79.7,21,89,20,0,0,0,1.38,43,35,8,0.39,0.2,30.7,32.5,-1.9,-0.09,-0.03,865,594,842,23,0,0,865,1,1,100.0,0,0.0,505,2213,1355,0,0,0,0,0,506,0
1053,Péter Gulácsi,HUN,Gardien,RB Leipzig,Bundesliga,34,1990,25,25,2205,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,616,747,82.5,15251,9367,131,131,100.0,320,325,98.5,165,288,57.3,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,1,85.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3,88,94.2,25,88,24,0,0,1,1.56,36,32,4,0.16,-2.5,33.0,38.5,-5.5,-0.22,-1.37,817,672,801,17,0,0,817,0,0,0.0,0,0.0,439,1981,1030,0,0,0,1,0,351,0
1137,Timo Horn,GER,Gardien,Bochum,Bundesliga,31,1993,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,119,202,58.9,5051,4481,6,6,100.0,33,33,100.0,80,163,49.1,0,0.0,0.0,0.0,0,14,0,0,1,0,0,2,0,0,0,0,0,0,0,9,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,90,19.2,5,90,5,0,0,21,1.4,7,7,0,0.0,1.19,6.8,9.6,-2.8,-0.55,0.28,219,154,216,3,0,0,219,0,0,0.0,0,0.0,117,571,315,0,0,0,0,0,105,0
1140,Lukáš Hrádecký,FIN,Gardien,Leverkusen,Bundesliga,35,1989,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2,0.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,546,729,74.9,14855,11385,115,115,100.0,235,241,97.5,192,365,52.6,0,0.0,0.0,0.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,49,1,1,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,90,88.5,23,90,23,0,0,2,2.17,54,30,24,1.04,0.38,42.6,25.2,17.4,0.76,-0.47,767,618,760,8,0,0,767,0,0,0.0,0,0.0,446,2423,1349,0,0,0,0,0,411,0
1317,Gregor Kobel,SUI,Gardien,Dortmund,Bundesliga,27,1997,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4,0.17,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,765,930,82.3,17894,12028,198,200,99.0,406,409,99.3,159,318,50.0,0,0.0,0.0,0.0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,42,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,3,90,92.3,24,90,24,0,0,0,1.33,42,37,5,0.21,0.71,40.5,29.2,11.3,0.47,0.27,973,716,964,9,0,0,973,2,2,100.0,0,0.0,639,3049,1752,0,0,0,0,0,603,0
1351,Matej Kovar,CZE,Gardien,Leverkusen,Bundesliga,24,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,66,85,77.6,1760,1077,11,11,100.0,35,35,100.0,20,38,52.6,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,90,11.5,3,90,3,0,0,23,2.0,5,3,2,0.67,-0.38,5.8,2.2,3.7,1.22,0.47,91,76,91,0,0,0,91,0,0,0.0,0,0.0,59,289,114,0,0,0,0,0,48,0
